scenario_id,turns,duration,final_price,buyer_utility,seller_utility
test_00156,14,338.016766,36.2,0.027027027027026456,0.4166666666666669
test_00222,12,218.445251,35.4,0.31182795698924726,0.4782608695652171
test_00135,9,129.616341,275.0,0.0,1.0
test_00279,12,244.358574,32.0,0.6551724137931033,0.5312499999999999
test_00040,11,200.942687,28.8,0.1999999999999998,0.4513274336283187
test_00184,8,104.263098,35.4,0.8857142857142861,0.19999999999999968
test_00443,9,135.040746,9.93,0.4638888888888889,0.6152416356877323
test_00805,11,190.620477,38.1,1.0,0.2093862815884478
test_00060,11,205.658968,164.0,0.0,0.9444444444444444
test_00388,15,365.489809,2370.0,0.28054298642533937,0.0
test_00106,13,241.831275,3210.0,0.6614785992217899,0.6666666666666666
test_00322,13,266.615968,2570.0,0.0,0.8888888888888888
test_00801,19,445.643039,1130.0,0.38461538461538464,0.1951219512195122
test_00330,12,251.602874,1480.0,0.7843137254901961,0.41825095057034223
test_00488,16,390.471223,3140.0,0.34523809523809523,0.2328767123287671
test_00208,9,164.799113,3300.0,0.0,1.0
test_00716,11,195.836077,1180.0,0.6744186046511628,0.2974828375286041
test_00374,13,202.132119,2260.0,0.18484288354898337,0.6730769230769231
test_00110,8,46.468489,10119.0,1.0,0.37544357700496805
test_00607,11,214.064207,58.4,0.0,0.8632478632478632
test_00692,12,232.151343,140.0,0.4444444444444444,0.6666666666666666
test_00307,11,205.257808,3420.0,0.20588235294117646,0.8222222222222222
test_00266,12,265.597123,6080.0,0.553763440860215,0.0
test_00605,14,262.673362,3700.0,0.6428571428571429,0.5833333333333334
test_00530,12,236.088285,5520.0,0.3782051282051282,0.0
test_00777,11,221.143485,86.0,0.38461538461538464,0.30232558139534893
test_00477,13,217.822852,227.0,0.48936170212765956,0.35051546391752575
test_00163,13,222.361955,108.0,0.3076923076923077,0.3939393939393939
test_00147,12,234.524656,18.6,0.23404255319148895,0.44000000000000056
test_00331,13,281.176636,46.4,0.13709677419354835,0.6288659793814433
test_00420,9,125.071325,550.0,0.0,1.0
test_00820,11,209.821843,528.0,0.23255813953488372,0.6716417910447762
test_00471,15,281.121862,209.0,0.2808988764044944,0.0
test_00069,8,104.007964,370.0,0.9285714285714286,0.8360655737704918
test_00079,12,246.677552,51.5,0.5283018867924526,0.0425531914893618
test_00516,8,101.927445,181.0,0.6666666666666666,0.14285714285714285
test_00657,13,257.80925,29.2,0.04697986577181204,0.7419354838709676
test_00608,11,201.140255,24.7,0.37288135593220334,0.3291139240506327
test_00346,16,359.22496,1210.0,0.36418816388467373,0.0
test_00354,12,231.45765,3000.0,0.4444444444444444,0.06542056074766354
test_00332,15,282.57085,2060.0,0.15555555555555556,0.31645569620253167
test_00476,11,245.122551,12600.0,0.6388888888888888,0.23711340206185566
test_00291,12,229.223969,2280.0,0.5859375,0.08270676691729323
test_00802,15,291.680172,3390.0,0.30409356725146197,0.2733812949640288
test_00563,12,261.930303,851.0,0.3456521739130435,0.26331360946745563
test_00711,12,196.653878,3220.0,0.5757575757575758,0.6060606060606061
test_00456,16,387.847109,458.0,0.5165562913907285,0.11538461538461539
test_00259,13,295.879385,64.6,0.0,0.9393939393939386
test_00089,18,443.798195,327.0,0.45714285714285713,0.0
test_00481,15,336.162659,3520.0,0.07920792079207921,0.6538461538461539
